query,symptoms,expected_disease_ids,predicted_disease_ids,retrieved_disease_ids,correct_predictions,precision,recall,f1_score,response
"Tôi bị nổi hạt tophi dưới da, tôi có thể mắc bệnh gì?",['nổi hạt tophi dưới da'],['tang-acid-uric-mau'],"['benh-gout', 'hat-tophi', 'cham-dong-tien', 'dau-khop']","['hat-tophi', 'hat-tophi', 'hat-tophi']",[],0.0,0.0,0.0,"Dựa trên triệu chứng bạn đã mô tả, có khả năng bạn đang gặp phải tình trạng liên quan đến ""Hạt tophi"". Đây là một biểu hiện thường gặp của bệnh gout mạn tính, khi các tinh thể urat tích tụ dưới da tạo thành các nốt sần gọi là tophi.

### Phân tích triệu chứng:
- **Nốt sần dưới da**: Đây là triệu chứng điển hình của hạt tophi, thường có hình dạng tròn hoặc ovan và có thể thấy màu trắng nhạt của tinh thể urat qua lớp da.
- **Sưng đau và nóng quanh khớp**: Khu vực xung quanh hạt tophi thường sưng đau, đặc biệt trong giai đoạn viêm cấp.
- **Hạn chế vận động khớp**: Khó cử động khớp bị ảnh hưởng, biên độ chuyển động của khớp bị giảm đáng kể.

### Khuyến nghị:
- **Tư vấn y tế**: Bạn nên tìm đến bác sĩ chuyên khoa xương khớp để được khám và chẩn đoán chính xác. Bác sĩ có thể thực hiện các phương pháp như khám lâm sàng, chụp CT hoặc MRI, và phân tích thành phần bên trong nốt tophi để xác định tình trạng bệnh.
- **Theo dõi triệu chứng**: Nếu bạn gặp thêm các triệu chứng như đau khớp dữ dội hoặc tiết dịch từ hạt tophi, hãy tìm kiếm sự chăm sóc y tế ngay lập tức.
- **Chăm sóc bản thân**: Duy trì chế độ ăn uống lành mạnh, hạn chế thực phẩm giàu purin và uống đủ nước có thể giúp kiểm soát tình trạng gout.

Nếu bạn có thêm bất kỳ triệu chứng nào khác hoặc cần thêm thông tin, đừng ngần ngại tìm kiếm sự tư vấn từ các chuyên gia y tế."
"Tôi bị đau lan xuống vùng thắt lưng và đùi, tôi có thể mắc bệnh gì?",['đau lan xuống vùng thắt lưng và đùi'],['dau-bung-kinh'],"['u-tuy-song', 'cham-dong-tien']","['gai-cot-song', 'u-tuy-song', 'viem-tuyen-tien-liet-man-tinh', '', '']",[],0.0,0.0,0.0,"Dựa trên triệu chứng bạn mô tả là ""đau lan xuống vùng thắt lưng và đùi"", có một số khả năng bệnh lý có thể liên quan:

1. **Thoát vị đĩa đệm cột sống thắt lưng**:
   - **Tại sao phù hợp**: Đau lan xuống vùng thắt lưng và đùi thường gặp trong trường hợp thoát vị đĩa đệm, khi đĩa đệm bị chèn ép vào dây thần kinh tọa.
   - **Triệu chứng bổ sung**: Có thể kèm theo tê hoặc yếu ở chân, đau tăng khi ngồi hoặc đứng lâu.

2. **Đau thần kinh tọa**:
   - **Tại sao phù hợp**: Đau lan từ lưng xuống đùi là triệu chứng điển hình của đau thần kinh tọa, thường do chèn ép hoặc kích thích dây thần kinh tọa.
   - **Triệu chứng bổ sung**: Cảm giác tê, ngứa ran hoặc yếu ở chân.

3. **U tủy sống**:
   - **Tại sao phù hợp**: Mặc dù ít phổ biến hơn, nhưng u tủy sống có thể gây đau lưng lan xuống chân nếu khối u chèn ép vào dây thần kinh.
   - **Triệu chứng bổ sung**: Đau nghiêm trọng hơn vào ban đêm, yếu cơ, rối loạn cảm giác.

**Khuyến nghị**:
- **Tìm kiếm sự tư vấn y tế chuyên nghiệp**: Để có chẩn đoán chính xác, bạn nên gặp bác sĩ chuyên khoa thần kinh hoặc bác sĩ chuyên khoa cột sống.
- **Theo dõi triệu chứng**: Ghi lại bất kỳ triệu chứng bổ sung nào như tê, yếu, hoặc thay đổi cảm giác để cung cấp thông tin chi tiết hơn cho bác sĩ.
- **Thực hiện các xét nghiệm cần thiết**: Bác sĩ có thể yêu cầu chụp MRI hoặc CT để xác định nguyên nhân chính xác của triệu chứng.

Hãy chú ý đến sức khỏe của bạn và đừng ngần ngại tìm kiếm sự giúp đỡ từ các chuyên gia y tế."
"Tôi bị nang thừng tinh, tôi có thể mắc bệnh gì?",['nang thừng tinh'],['benh-ly-ong-phuc-tinh-mac'],"['cham-dong-tien', 'gian-tinh-mach-thung-tinh']","['nang-co-nang-buong-trung', '', 'gian-tinh-mach-thung-tinh', 'nang-vu', 'tinh-trung-yeu', 'tac-voi-trung']",[],0.0,0.0,0.0,"Từ những triệu chứng bạn mô tả, có vẻ như bạn đang lo lắng về tình trạng nang thừng tinh. Nang thừng tinh là một tình trạng mà có thể gây ra sự tích tụ chất lỏng trong thừng tinh, thường không gây đau đớn và không nguy hiểm. Tuy nhiên, nếu bạn cảm thấy đau hoặc có bất kỳ triệu chứng nào khác như sưng hoặc cảm giác nặng ở vùng bìu, có thể có liên quan đến giãn tĩnh mạch thừng tinh.

Dưới đây là một số bệnh có thể liên quan đến triệu chứng của bạn:

1. **Giãn tĩnh mạch thừng tinh (Varicocele)**:
   - **Triệu chứng**: Đau nhẹ hoặc cảm giác nặng ở vùng bìu, đặc biệt sau khi đứng lâu hoặc hoạt động thể lực. Đau có thể tăng vào buổi chiều tối hoặc sau khi làm việc gắng sức.
   - **Lý do phù hợp**: Triệu chứng đau và sưng có thể liên quan đến giãn tĩnh mạch thừng tinh, đặc biệt nếu bạn cảm thấy nặng nề ở vùng bìu.

2. **Nang thừng tinh (Spermatocele)**:
   - **Triệu chứng**: Thường không có triệu chứng rõ ràng, nhưng có thể cảm thấy một khối u mềm ở vùng bìu.
   - **Lý do phù hợp**: Nếu bạn đã được chẩn đoán nang thừng tinh, đây có thể là nguyên nhân chính của triệu chứng bạn đang gặp phải.

3. **Thoát vị bẹn (Inguinal Hernia)**:
   - **Triệu chứng**: Sưng hoặc đau ở vùng bẹn hoặc bìu, đặc biệt khi ho, cúi người hoặc nâng vật nặng.
   - **Lý do phù hợp**: Nếu có sưng hoặc đau ở vùng bẹn, thoát vị bẹn có thể là một khả năng cần xem xét.

**Khuyến nghị**:
- Nếu bạn cảm thấy đau hoặc có bất kỳ triệu chứng nào khác, nên tham khảo ý kiến của bác sĩ chuyên khoa tiết niệu để được chẩn đoán chính xác và điều trị kịp thời.
- Theo dõi thêm các triệu chứng khác như sưng, đau tăng lên hoặc bất kỳ thay đổi nào ở vùng bìu để cung cấp thông tin chi tiết hơn cho bác sĩ.
- Tránh các hoạt động gắng sức nếu cảm thấy đau hoặc khó chịu.

Hãy chăm sóc sức khỏe của mình và đừng ngần ngại tìm kiếm sự tư vấn y tế chuyên nghiệp khi cần thiết."
"Tôi bị triệu chứng tại da, tôi có thể mắc bệnh gì?",['triệu chứng tại da'],['benh-giun-luon'],"['cham-dong-tien', 'viem-da-co-dia']","['viem-da-co-dia', 'san-day', '', '', 'me-day']",[],0.0,0.0,0.0,"Dựa trên mô tả của bạn về triệu chứng tại da, có một số bệnh lý có thể liên quan. Dưới đây là một số bệnh có thể phù hợp với triệu chứng của bạn:

1. **Bệnh vảy nến (Psoriasis)**:
   - **Tại sao phù hợp**: Bệnh vảy nến thường gây ra các mảng da đỏ, có vảy dày, đặc biệt là trên da đầu và các khớp như khuỷu tay. Triệu chứng này phù hợp với mô tả của bạn về triệu chứng tại da.
   - **Triệu chứng bổ sung**: Ngứa, đau hoặc cảm giác nóng rát tại vùng da bị ảnh hưởng.

2. **Viêm da cơ địa (Eczema)**:
   - **Tại sao phù hợp**: Viêm da cơ địa có thể gây ra các mảng da đỏ, ngứa và có thể bong tróc. Đây cũng là một bệnh lý da phổ biến.
   - **Triệu chứng bổ sung**: Da khô, nứt nẻ, có thể có mụn nước nhỏ.

3. **Nấm da (Dermatophytosis)**:
   - **Tại sao phù hợp**: Nấm da có thể gây ra các tổn thương hình tròn, đỏ và có thể để lại sẹo sau khi lành.
   - **Triệu chứng bổ sung**: Ngứa, có thể có mùi hôi hoặc cảm giác khó chịu.

**Khuyến nghị**:
- Nếu triệu chứng của bạn nghiêm trọng hoặc kéo dài, bạn nên tìm kiếm sự tư vấn từ bác sĩ da liễu để được chẩn đoán chính xác và điều trị kịp thời.
- Theo dõi thêm các triệu chứng khác như ngứa, đau, hoặc sự thay đổi sắc tố da để cung cấp thông tin chi tiết hơn cho bác sĩ.
- Tránh tự ý sử dụng thuốc mà không có chỉ định của bác sĩ.

Hy vọng thông tin này hữu ích cho bạn. Hãy chăm sóc sức khỏe của mình và đừng ngần ngại tìm kiếm sự giúp đỡ từ các chuyên gia y tế khi cần thiết."
"Tôi bị giai đoạn đầu (2-3 tuần đầu), tôi có thể mắc bệnh gì?",['giai đoạn đầu (2-3 tuần đầu)'],['benh-giun-dau-gai'],"['cham-dong-tien', 'chong-mat', 'om-nghen-khi-mang-thai']","['tien-san-giat', 'om-nghen-khi-mang-thai', 'om-nghen-khi-mang-thai', '']",[],0.0,0.0,0.0,"Dựa trên thông tin bạn cung cấp về giai đoạn đầu của thai kỳ (2-3 tuần đầu), có một số triệu chứng có thể liên quan đến ốm nghén khi mang thai. Tuy nhiên, vì bạn chưa mô tả cụ thể các triệu chứng, tôi sẽ liệt kê một số triệu chứng phổ biến của ốm nghén để bạn tham khảo:

1. **Buồn nôn và nôn ói**: Thường xuất hiện vào buổi sáng hoặc khi có sự kích thích về mùi vị của thực phẩm.
2. **Nhạy cảm với mùi vị thức ăn**: Đặc biệt là với thịt sống, cá sống.
3. **Chán ăn, không ngon miệng**: Do sự nhạy cảm về mùi vị.
4. **Mệt mỏi, thiếu năng lượng**: Do không ăn uống đầy đủ.
5. **Hoa mắt, chóng mặt**: Do thay đổi nội tiết tố và thiếu dinh dưỡng.
6. **Sụt cân**: Trong trường hợp nghén nặng.

Nếu bạn đang gặp phải các triệu chứng này, có khả năng bạn đang trải qua ốm nghén, một tình trạng phổ biến trong thai kỳ. Tuy nhiên, nếu bạn có các triệu chứng khác hoặc lo lắng về tình trạng sức khỏe của mình, tôi khuyên bạn nên tham khảo ý kiến của bác sĩ chuyên khoa sản để được tư vấn và chăm sóc kịp thời.

Nếu bạn có thêm triệu chứng nào khác hoặc cần thêm thông tin, hãy chia sẻ để tôi có thể hỗ trợ bạn tốt hơn."
"Tôi bị nhiễm trùng đường hô hấp tái phát, tôi có thể mắc bệnh gì?",['nhiễm trùng đường hô hấp tái phát'],['ung-thu-phoi'],"['viem-phoi', 'dau-dau', 'viem-phe-quan-man-tinh', 'cham-dong-tien', 'phe-cau-khuan', 'hen-suyen', 'kho-tho']","['', '', '', '']",[],0.0,0.0,0.0,"Dựa trên mô tả của bạn về việc bị nhiễm trùng đường hô hấp tái phát, có một số bệnh có thể liên quan đến các triệu chứng này. Dưới đây là một số khả năng:

1. **Viêm phổi do phế cầu khuẩn**: 
   - **Triệu chứng phù hợp**: Sốt cao, rét run, đau ngực, khó thở, ho có đờm hoặc máu.
   - **Lý do phù hợp**: Các triệu chứng này thường xuất hiện trong các trường hợp nhiễm trùng đường hô hấp nặng, đặc biệt là khi tái phát.

2. **Viêm phế quản mãn tính**:
   - **Triệu chứng phù hợp**: Ho khan hoặc ho có đờm, cảm giác nặng hoặc đau ở ngực.
   - **Lý do phù hợp**: Viêm phế quản mãn tính có thể gây ra các triệu chứng tái phát và kéo dài, đặc biệt là ho và khó thở.

3. **Hen suyễn**:
   - **Triệu chứng phù hợp**: Thở khò khè hoặc khó thở, ho, cảm giác nặng ở ngực.
   - **Lý do phù hợp**: Hen suyễn có thể gây ra các triệu chứng tái phát, đặc biệt là khi tiếp xúc với các tác nhân kích thích.

4. **Viêm xoang mãn tính**:
   - **Triệu chứng phù hợp**: Nghẹt mũi hoặc chảy nước mũi, đau đầu, ho.
   - **Lý do phù hợp**: Viêm xoang mãn tính có thể dẫn đến nhiễm trùng đường hô hấp tái phát do dịch mũi chảy xuống họng.

**Khuyến nghị**:
- Nếu các triệu chứng của bạn nghiêm trọng hoặc kéo dài, bạn nên tìm kiếm sự tư vấn từ bác sĩ chuyên khoa hô hấp hoặc tai mũi họng.
- Theo dõi các triệu chứng khác như sốt cao, đau ngực dữ dội, hoặc khó thở nặng để có thể cung cấp thông tin chi tiết hơn cho bác sĩ.
- Điều trị sớm và đúng cách có thể giúp ngăn ngừa các biến chứng nghiêm trọng.

Hãy chăm sóc sức khỏe của bạn và đừng ngần ngại tìm kiếm sự giúp đỡ y tế khi cần thiết."
"Tôi bị khớp gối bị biến dạng, tôi có thể mắc bệnh gì?",['khớp gối bị biến dạng'],['hep-khe-khop-goi'],"['u-xuong', 'cung-khop', 'gai-xuong', 'cham-dong-tien', 'hep-khe-khop-goi', 'dau-khop']","['hep-khe-khop-goi', 'dau-khop-goi', 'viem-bao-hoat-dich-khop-goi']",['hep-khe-khop-goi'],0.16666666666666666,1.0,0.2857142857142857,"Dựa trên triệu chứng bạn mô tả là ""khớp gối bị biến dạng"", có khả năng bạn đang gặp phải tình trạng ""Hẹp khe khớp gối"". Đây là một bệnh lý thường gặp khi phần sụn khớp bị bong tróc, dẫn đến ma sát giữa các đầu xương và có thể gây biến dạng khớp gối.

**Tại sao triệu chứng này phù hợp với ""Hẹp khe khớp gối"":**
- Biến dạng khớp gối là một trong những triệu chứng điển hình của hẹp khe khớp gối, thường xuất hiện cùng với các gai xương.
- Ngoài ra, bệnh này còn có thể đi kèm với các triệu chứng khác như đau khớp, khả năng vận động bị hạn chế, cứng khớp buổi sáng, và âm thanh lạ khi vận động khớp.

**Khuyến nghị:**
- Nếu bạn gặp thêm các triệu chứng như đau khớp, cứng khớp vào buổi sáng, hoặc âm thanh lạ khi vận động, điều này có thể củng cố thêm khả năng mắc bệnh hẹp khe khớp gối.
- Tôi khuyên bạn nên tham khảo ý kiến của bác sĩ chuyên khoa xương khớp để được chẩn đoán chính xác và có phương pháp điều trị phù hợp.
- Đừng ngần ngại tìm kiếm sự giúp đỡ y tế, đặc biệt nếu triệu chứng gây ảnh hưởng lớn đến cuộc sống hàng ngày của bạn.

Chúc bạn sớm tìm được giải pháp và sức khỏe tốt!"
"Tôi bị triệu chứng ở người cao tuổi, tôi có thể mắc bệnh gì?",['triệu chứng ở người cao tuổi'],['nao-ung-thuy'],"['roi-loan-tieu-hoa', 'ung-thu-gan', 'alzheimer', 'u-mau', 'sa-sut-tri-tue', 'cham-dong-tien', 'loang-xuong', 'ung-thu-dai-trang', 'viem-dai-trang', 'ung-thu-xuong', 'xo-gan', 'ung-thu-phoi', 'tieu-chay', 'tao-bon', 'kho-tho']","['', '', '', '', '']",[],0.0,0.0,0.0,"Dựa trên các triệu chứng bạn mô tả, có thể bạn đang gặp phải một số vấn đề sức khỏe thường gặp ở người cao tuổi. Dưới đây là một số bệnh lý có thể liên quan:

1. **Suy dinh dưỡng hoặc thiếu máu**: Triệu chứng mệt mỏi và suy nhược có thể do thiếu dinh dưỡng hoặc thiếu máu. Điều này thường xảy ra ở người cao tuổi do chế độ ăn uống không đầy đủ hoặc khả năng hấp thụ dinh dưỡng kém.

2. **Bệnh lý tiêu hóa**: Rối loạn tiêu hóa như táo bón hoặc tiêu chảy có thể là dấu hiệu của các bệnh lý tiêu hóa như viêm đại tràng hoặc ung thư đại tràng. Nếu có triệu chứng đi ngoài phân nhầy máu hoặc phân đen, cần đi khám ngay.

3. **Bệnh gan**: Triệu chứng vàng da, vàng mắt có thể chỉ ra vấn đề về gan, chẳng hạn như xơ gan hoặc ung thư gan. Đây là những tình trạng nghiêm trọng cần được chẩn đoán và điều trị kịp thời.

4. **Bệnh phổi**: Khó thở, đau tức ngực, ho kéo dài có thể liên quan đến bệnh phổi mãn tính hoặc ung thư phổi. Đây là những triệu chứng cần được kiểm tra bởi bác sĩ chuyên khoa hô hấp.

5. **Bệnh xương khớp**: Đau nhức xương, gãy xương bệnh lý có thể là dấu hiệu của loãng xương hoặc ung thư xương. Người cao tuổi thường có nguy cơ cao mắc các bệnh này.

6. **Suy giảm chức năng thận**: Thay đổi nước tiểu, nước tiểu sẫm màu có thể chỉ ra suy giảm chức năng thận. Điều này cần được kiểm tra bởi bác sĩ chuyên khoa thận.

7. **Rối loạn thần kinh**: Buồn ngủ, thiếu tỉnh táo, lẫn lộn có thể liên quan đến các rối loạn thần kinh như sa sút trí tuệ hoặc bệnh Alzheimer.

Tôi khuyên bạn nên đến gặp bác sĩ để được thăm khám và chẩn đoán chính xác. Các bác sĩ chuyên khoa nội tổng quát, tiêu hóa, hô hấp, hoặc thần kinh có thể giúp bạn xác định nguyên nhân và đưa ra phương pháp điều trị phù hợp. Hãy chú ý theo dõi thêm các triệu chứng khác và cung cấp thông tin chi tiết cho bác sĩ để có chẩn đoán chính xác nhất."
"Tôi bị thở nhanh, hụt hơi, tôi có thể mắc bệnh gì?","['thở nhanh, hụt hơi']",['thong-lien-that'],"['cham-dong-tien', 'kho-tho', 'suy-ho-hap']","['thong-lien-nhi', 'kho-tho', 'suy-ho-hap']",[],0.0,0.0,0.0,"Dựa trên các triệu chứng bạn mô tả, như thở nhanh và hụt hơi, có thể bạn đang gặp phải tình trạng ""Khó thở"" hoặc ""Suy hô hấp"". Dưới đây là phân tích chi tiết:

1. **Khó thở (Dyspnea)**:
   - **Triệu chứng phù hợp**: Thở nhanh, hụt hơi.
   - **Giải thích**: Khó thở thường đi kèm với cảm giác không thể hít đủ không khí, thở gấp, và có thể có cảm giác tức ngực. Đây là một tình trạng phổ biến và có thể do nhiều nguyên nhân khác nhau như căng thẳng, lo âu, hoặc các vấn đề về hô hấp.

2. **Suy hô hấp**:
   - **Triệu chứng phù hợp**: Khó thở và thở nhanh.
   - **Giải thích**: Suy hô hấp là tình trạng nghiêm trọng hơn, có thể dẫn đến thiếu oxy trong máu. Các triệu chứng khác có thể bao gồm mệt mỏi, da và môi tím tái, và nhịp tim nhanh. Đây là một tình trạng cần được chú ý và có thể cần can thiệp y tế khẩn cấp.

**Khuyến nghị**:
- Nếu bạn cảm thấy tình trạng khó thở của mình nghiêm trọng hoặc đi kèm với các triệu chứng khác như đau ngực, da và môi tím tái, hoặc mệt mỏi cực độ, bạn nên tìm kiếm sự tư vấn từ bác sĩ chuyên khoa hô hấp hoặc đến cơ sở y tế gần nhất để được kiểm tra và điều trị kịp thời.
- Theo dõi thêm các triệu chứng khác như ho, thở khò khè, hoặc cảm giác ngột ngạt để cung cấp thông tin chi tiết hơn cho bác sĩ.
- Hãy chú ý đến các yếu tố có thể làm nặng thêm tình trạng của bạn như dị ứng, ô nhiễm không khí, hoặc căng thẳng.

Chúc bạn sớm khỏe mạnh và nếu có bất kỳ thắc mắc nào khác, đừng ngần ngại hỏi thêm!"
"Tôi bị vú có sự thay đổi về kích thước và hình dáng, tôi có thể mắc bệnh gì?",['vú có sự thay đổi về kích thước và hình dáng'],['ung-thu-vu'],"['roi-loan-noi-tiet', 'ung-thu-vu-giai-doan-dau', 'cham-dong-tien', 'ung-thu-vu', 'tiet-dich-num-vu']","['', 'nang-vu', 'ung-thu-vu-giai-doan-1']",['ung-thu-vu'],0.2,1.0,0.33333333333333337,"Dựa trên triệu chứng bạn mô tả là ""vú có sự thay đổi về kích thước và hình dáng"", có một số bệnh lý có thể liên quan. Dưới đây là một số khả năng:

1. **Ung thư vú giai đoạn đầu**:
   - **Tại sao phù hợp**: Thay đổi kích thước và hình dáng của vú là một trong những triệu chứng có thể gặp ở ung thư vú giai đoạn đầu. Các triệu chứng khác có thể bao gồm khối u nhỏ ở vú, tiết dịch núm vú, da bị lõm hoặc thay đổi kết cấu.
   - **Khuyến nghị**: Đây là một tình trạng nghiêm trọng, bạn nên tìm kiếm sự tư vấn từ bác sĩ chuyên khoa ung bướu để được chẩn đoán và điều trị kịp thời.

2. **Rối loạn nội tiết**:
   - **Tại sao phù hợp**: Thay đổi nội tiết tố có thể gây ra sự thay đổi về kích thước và hình dáng của vú, đặc biệt là trong các giai đoạn như dậy thì, mang thai, hoặc mãn kinh.
   - **Khuyến nghị**: Nếu bạn nghi ngờ rối loạn nội tiết, hãy tham khảo ý kiến của bác sĩ nội tiết để kiểm tra và điều chỉnh hormone nếu cần.

3. **Viêm vú hoặc nhiễm trùng**:
   - **Tại sao phù hợp**: Mặc dù ít phổ biến hơn, viêm hoặc nhiễm trùng có thể gây sưng và thay đổi hình dáng vú.
   - **Khuyến nghị**: Nếu có kèm theo đau, đỏ, hoặc sốt, bạn nên gặp bác sĩ để kiểm tra và điều trị.

**Các bước tiếp theo**:
- Theo dõi thêm các triệu chứng khác như đau, tiết dịch núm vú, hoặc sự xuất hiện của khối u.
- Gặp bác sĩ chuyên khoa ung bướu hoặc nội tiết để được tư vấn và kiểm tra chi tiết.
- Nếu có bất kỳ triệu chứng nghiêm trọng nào khác, hãy tìm kiếm sự chăm sóc y tế ngay lập tức.

Hy vọng thông tin này hữu ích và chúc bạn sớm tìm ra nguyên nhân và có hướng điều trị phù hợp."
